,dry_season_type,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
MDA.20_1,MDA,Moldova,MDA.20_1,Glodeni,District,3.0
MDA.29_1,MDA,Moldova,MDA.29_1,Sîngerei,District,3.0
MDA.30_1,MDA,Moldova,MDA.30_1,Şoldăneşti,District,2.0
MDA.36_1,MDA,Moldova,MDA.36_1,Transnistria,Territorial Unit,2.6666666666666665
UKR.17_1,UKR,Ukraine,UKR.17_1,Odessa,Region,2.5714285714285716
UKR.16_1,UKR,Ukraine,UKR.16_1,Mykolayiv,Region,2.8181818181818183
UKR.26_1,UKR,Ukraine,UKR.26_1,Zaporizhzhya,Region,2.3636363636363638
RUS.22_1,RUS,Russia,RUS.22_1,Kalmyk,Republic,1.09375
KAZ.11_1,KAZ,Kazakhstan,KAZ.11_1,Qyzylorda,Region,0.8703703703703703
MNG.10_1,MNG,Mongolia,MNG.10_1,Govi-Altay,Province,1.0923076923076922
MNG.21_1,MNG,Mongolia,MNG.21_1,Ulaanbaatar,Municipality,2.0
USA.50_1,USA,United States,USA.50_1,Wisconsin,State,1.7777777777777777
USA.20_1,USA,United States,USA.20_1,Maine,State,2.0
CHE.6_1,CHE,Switzerland,CHE.6_1,Bern,Canton,2.0
CHE.12_1,CHE,Switzerland,CHE.12_1,Lucerne,Canton,2.0
CHE.26_1,CHE,Switzerland,CHE.26_1,Zürich,Canton,2.0
CHE.16_1,CHE,Switzerland,CHE.16_1,Sankt Gallen,Canton,2.0
AUT.8_1,AUT,Austria,AUT.8_1,Vorarlberg,State,2.0
AUT.7_1,AUT,Austria,AUT.7_1,Tirol,State,2.0
HUN.18_1,HUN,Hungary,HUN.18_1,Vas,County,2.0
HUN.19_1,HUN,Hungary,HUN.19_1,Veszprém,County,2.0
HUN.7_1,HUN,Hungary,HUN.7_1,Fejér,County,3.0
HUN.11_1,HUN,Hungary,HUN.11_1,Jász-Nagykun-Szolnok,County,3.0
ROU.5_1,ROU,Romania,ROU.5_1,Bihor,County,2.3333333333333335
ROU.33_1,ROU,Romania,ROU.33_1,Sălaj,County,2.0
ROU.6_1,ROU,Romania,ROU.6_1,Bistrița-Năsăud,County,2.0
ROU.30_1,ROU,Romania,ROU.30_1,Neamț,County,2.0
ROU.24_1,ROU,Romania,ROU.24_1,Iași,County,2.3333333333333335
MDA.7_1,MDA,Moldova,MDA.7_1,Calarasi,District,2.0
MDA.33_1,MDA,Moldova,MDA.33_1,Străşeni,District,3.0
UKR.9_1,UKR,Ukraine,UKR.9_1,Kherson,Region,2.066666666666667
KAZ.1_1,KAZ,Kazakhstan,KAZ.1_1,Almaty,Region,1.5148514851485149
MNG.3_1,MNG,Mongolia,MNG.3_1,Bayanhongor,Province,1.2830188679245282
MNG.17_1,MNG,Mongolia,MNG.17_1,Övörhangay,Province,1.3548387096774193
MNG.19_1,MNG,Mongolia,MNG.19_1,Sühbaatar,Province,1.135135135135135
CAN.10_1,CAN,Canada,CAN.10_1,Prince Edward Island,Province,2.0
CAN.7_1,CAN,Canada,CAN.7_1,Nova Scotia,Province,1.9166666666666667
FRA.10_1,FRA,France,FRA.10_1,Nouvelle-Aquitaine,Region,2.0
CHE.24_1,CHE,Switzerland,CHE.24_1,Vaud,Canton,2.0
CHE.7_1,CHE,Switzerland,CHE.7_1,Fribourg,Canton,2.0
CHE.22_1,CHE,Switzerland,CHE.22_1,Uri,Canton,2.0
CHE.10_1,CHE,Switzerland,CHE.10_1,Graubünden,Canton,1.6666666666666667
ITA.17_1,ITA,Italy,ITA.17_1,Trentino-Alto Adige,Autonomous Region,2.0
AUT.2_1,AUT,Austria,AUT.2_1,Kärnten,State,2.0
SVN.9_1,SVN,Slovenia,SVN.9_1,Pomurska,Statistical Region,2.0
HUN.20_1,HUN,Hungary,HUN.20_1,Zala,County,2.0
HUN.15_1,HUN,Hungary,HUN.15_1,Somogy,County,2.0
HUN.17_1,HUN,Hungary,HUN.17_1,Tolna,County,2.0
HUN.1_1,HUN,Hungary,HUN.1_1,Bács-Kiskun,County,2.6666666666666665
HUN.6_1,HUN,Hungary,HUN.6_1,Csongrád,County,3.0
HUN.3_1,HUN,Hungary,HUN.3_1,Békés,County,2.5
ROU.14_1,ROU,Romania,ROU.14_1,Cluj,County,2.0
ROU.29_1,ROU,Romania,ROU.29_1,Mureș,County,2.0
ROU.22_1,ROU,Romania,ROU.22_1,Harghita,County,2.0
ROU.4_1,ROU,Romania,ROU.4_1,Bacău,County,2.0
ROU.41_1,ROU,Romania,ROU.41_1,Vaslui,County,2.3333333333333335
MDA.21_1,MDA,Moldova,MDA.21_1,Hîncesti,District,3.0
MDA.11_1,MDA,Moldova,MDA.11_1,Cimişlia,District,3.0
MDA.9_1,MDA,Moldova,MDA.9_1,Causeni,District,3.0
RUS.34_1,RUS,Russia,RUS.34_1,Krasnodar,Territory,2.085714285714286
MNG.11_1,MNG,Mongolia,MNG.11_1,Govisümber,Municipality,1.0
FRA.1_1,FRA,France,FRA.1_1,Auvergne-Rhône-Alpes,Region,2.0
CHE.8_1,CHE,Switzerland,CHE.8_1,Genève,Canton,2.0
CHE.23_1,CHE,Switzerland,CHE.23_1,Valais,Canton,2.0
ITA.13_1,ITA,Italy,ITA.13_1,Piemonte,Region,2.0
CHE.21_1,CHE,Switzerland,CHE.21_1,Ticino,Canton,2.0
ITA.10_1,ITA,Italy,ITA.10_1,Lombardia,Region,2.0
ITA.20_1,ITA,Italy,ITA.20_1,Veneto,Region,2.0
ITA.7_1,ITA,Italy,ITA.7_1,Friuli-Venezia Giulia,Autonomous Region,2.0
SVN.2_1,SVN,Slovenia,SVN.2_1,Goriška,Statistical Region,2.0
SVN.1_1,SVN,Slovenia,SVN.1_1,Gorenjska,Statistical Region,2.0
SVN.7_1,SVN,Slovenia,SVN.7_1,Osrednjeslovenska,Statistical Region,2.0
SVN.10_1,SVN,Slovenia,SVN.10_1,Savinjska,Statistical Region,2.0
HRV.17_1,HRV,Croatia,HRV.17_1,Varaždinska,County,2.0
HRV.7_1,HRV,Croatia,HRV.7_1,Koprivničko-Križevačka,County,2.0
HUN.2_1,HUN,Hungary,HUN.2_1,Baranya,County,2.0
ROU.2_1,ROU,Romania,ROU.2_1,Arad,County,2.0
ROU.23_1,ROU,Romania,ROU.23_1,Hunedoara,County,2.0
ROU.1_1,ROU,Romania,ROU.1_1,Alba,County,2.0
ROU.35_1,ROU,Romania,ROU.35_1,Sibiu,County,2.0
MDA.8_1,MDA,Moldova,MDA.8_1,Cantemir,District,3.0
MDA.19_1,MDA,Moldova,MDA.19_1,Găgăuzia,Autonomous Territory,3.0
KAZ.6_1,KAZ,Kazakhstan,KAZ.6_1,Mangghystau,Region,1.0
MNG.8_1,MNG,Mongolia,MNG.8_1,Dundgovi,Province,1.0
MNG.7_1,MNG,Mongolia,MNG.7_1,Dornogovi,Province,1.0
CHN.17_1,CHN,China,CHN.17_1,Jilin,Province,2.211764705882353
USA.38_1,USA,United States,USA.38_1,Oregon,State,1.5225225225225225
USA.42_1,USA,United States,USA.42_1,South Dakota,State,2.340659340659341
ITA.19_1,ITA,Italy,ITA.19_1,Valle d'Aosta,Autonomous Region,2.0
SVN.5_1,SVN,Slovenia,SVN.5_1,Notranjsko-kraška,Statistical Region,2.0
SVN.3_1,SVN,Slovenia,SVN.3_1,Jugovzhodna Slovenija,Statistical Region,2.0
HRV.21_1,HRV,Croatia,HRV.21_1,Zagrebačka,County,2.0
HRV.1_1,HRV,Croatia,HRV.1_1,Bjelovarska-Bilogorska,County,2.0
HRV.18_1,HRV,Croatia,HRV.18_1,Viroviticko-Podravska,County,2.0
HRV.11_1,HRV,Croatia,HRV.11_1,Osjecko-Baranjska,County,2.0
SRB.24_1,SRB,Serbia,SRB.24_1,Zapadno-Bački,District,3.0
SRB.17_1,SRB,Serbia,SRB.17_1,Severno-Bački,District,3.0
SRB.19_1,SRB,Serbia,SRB.19_1,Srednje-Banatski,District,2.6666666666666665
ROU.38_1,ROU,Romania,ROU.38_1,Timiș,County,2.25
ROU.8_1,ROU,Romania,ROU.8_1,Brașov,County,2.0
ROU.16_1,ROU,Romania,ROU.16_1,Covasna,County,2.0
ROU.42_1,ROU,Romania,ROU.42_1,Vrancea,County,2.0
ROU.19_1,ROU,Romania,ROU.19_1,Galați,County,3.0
MDA.6_1,MDA,Moldova,MDA.6_1,Cahul,District,2.0
UKR.4_1,UKR,Ukraine,UKR.4_1,Crimea,Autonomous Republic,2.0
RUS.65_1,RUS,Russia,RUS.65_1,Stavropol',Territory,2.107142857142857
KAZ.12_1,KAZ,Kazakhstan,KAZ.12_1,South Kazakhstan,Region,1.462962962962963
KAZ.14_1,KAZ,Kazakhstan,KAZ.14_1,Zhambyl,Region,1.4761904761904763
USA.30_1,USA,United States,USA.30_1,New Hampshire,State,2.0
HRV.5_1,HRV,Croatia,HRV.5_1,Istarska,County,2.0
HRV.13_1,HRV,Croatia,HRV.13_1,Primorsko-Goranska,County,2.0
HRV.6_1,HRV,Croatia,HRV.6_1,Karlovacka,County,2.0
HRV.15_1,HRV,Croatia,HRV.15_1,Sisacko-Moslavacka,County,2.0
HRV.2_1,HRV,Croatia,HRV.2_1,Brodsko-Posavska,County,2.0
HRV.12_1,HRV,Croatia,HRV.12_1,Požeško-Slavonska,County,2.0
HRV.19_1,HRV,Croatia,HRV.19_1,Vukovarsko-Srijemska,County,2.0
SRB.5_1,SRB,Serbia,SRB.5_1,Južno-Bački,District,2.0
ROU.13_1,ROU,Romania,ROU.13_1,Caraș-Severin,County,2.0
ROU.21_1,ROU,Romania,ROU.21_1,Gorj,County,2.0
ROU.40_1,ROU,Romania,ROU.40_1,Vâlcea,County,2.0
ROU.3_1,ROU,Romania,ROU.3_1,Argeș,County,2.0
ROU.32_1,ROU,Romania,ROU.32_1,Prahova,County,2.0
ROU.11_1,ROU,Romania,ROU.11_1,Buzău,County,2.0
ROU.9_1,ROU,Romania,ROU.9_1,Brăila,County,3.0
ROU.39_1,ROU,Romania,ROU.39_1,Tulcea,County,2.0
UZB.5_1,UZB,Uzbekistan,UZB.5_1,Karakalpakstan,Autononous Region,0.8472222222222222
JPN.12_1,JPN,Japan,JPN.12_1,Hokkaido,Circuit,1.9428571428571428
USA.51_1,USA,United States,USA.51_1,Wyoming,State,1.1517857142857142
USA.33_1,USA,United States,USA.33_1,New York,State,2.0
USA.46_1,USA,United States,USA.46_1,Vermont,State,2.0
FRA.11_1,FRA,France,FRA.11_1,Occitanie,Region,2.03125
FRA.13_1,FRA,France,FRA.13_1,Provence-Alpes-Côte d'Azur,Region,2.0
ITA.6_1,ITA,Italy,ITA.6_1,Emilia-Romagna,Region,2.0
HRV.9_1,HRV,Croatia,HRV.9_1,Licko-Senjska,County,2.0
BIH.2_1,BIH,Bosnia and Herzegovina,BIH.2_1,Federacija Bosna i Hercegovina,Entity,2.0
BIH.3_1,BIH,Bosnia and Herzegovina,BIH.3_1,Repuplika Srpska,Entity,2.0
SRB.20_1,SRB,Serbia,SRB.20_1,Sremski,District,2.0
SRB.3_1,SRB,Serbia,SRB.3_1,Grad Beograd,City,3.0
SRB.6_1,SRB,Serbia,SRB.6_1,Južno-Banatski,District,2.0
SRB.2_1,SRB,Serbia,SRB.2_1,Braničevski,District,2.0
ROU.28_1,ROU,Romania,ROU.28_1,Mehedinți,County,2.0
ROU.17_1,ROU,Romania,ROU.17_1,Dâmbovița,County,2.0
ROU.25_1,ROU,Romania,ROU.25_1,Ialomița,County,2.3333333333333335
RUS.1_1,RUS,Russia,RUS.1_1,Adygey,Republic,2.0
RUS.15_1,RUS,Russia,RUS.15_1,Dagestan,Republic,2.0454545454545454
MNG.15_1,MNG,Mongolia,MNG.15_1,Ömnögovi,Province,1.0
ITA.9_1,ITA,Italy,ITA.9_1,Liguria,Region,2.0
ITA.16_1,ITA,Italy,ITA.16_1,Toscana,Region,1.8181818181818181
HRV.20_1,HRV,Croatia,HRV.20_1,Zadarska,County,2.0
SRB.7_1,SRB,Serbia,SRB.7_1,Kolubarski,District,2.0
SRB.21_1,SRB,Serbia,SRB.21_1,Šumadijski,District,2.0
SRB.1_1,SRB,Serbia,SRB.1_1,Borski,District,2.0
ROU.18_1,ROU,Romania,ROU.18_1,Dolj,County,2.0
ROU.31_1,ROU,Romania,ROU.31_1,Olt,County,2.0
ROU.37_1,ROU,Romania,ROU.37_1,Teleorman,County,2.0
ROU.20_1,ROU,Romania,ROU.20_1,Giurgiu,County,2.3333333333333335
ROU.12_1,ROU,Romania,ROU.12_1,Călărași,County,2.6666666666666665
ROU.15_1,ROU,Romania,ROU.15_1,Constanța,County,2.0
RUS.25_1,RUS,Russia,RUS.25_1,Karachay-Cherkess,Republic,2.0
ITA.11_1,ITA,Italy,ITA.11_1,Marche,Region,2.0
HRV.14_1,HRV,Croatia,HRV.14_1,Šibensko-Kninska,County,2.0
HRV.16_1,HRV,Croatia,HRV.16_1,Splitsko-Dalmatinska,County,2.0
SRB.25_1,SRB,Serbia,SRB.25_1,Zlatiborski,District,2.0
SRB.9_1,SRB,Serbia,SRB.9_1,Moravički,District,2.0
SRB.16_1,SRB,Serbia,SRB.16_1,Raški,District,2.0
SRB.15_1,SRB,Serbia,SRB.15_1,Rasinski,District,2.0
SRB.23_1,SRB,Serbia,SRB.23_1,Zaječarski,District,2.0
BGR.26_1,BGR,Bulgaria,BGR.26_1,Vidin,Province,2.0
BGR.10_1,BGR,Bulgaria,BGR.10_1,Montana,Province,2.5
BGR.27_1,BGR,Bulgaria,BGR.27_1,Vratsa,Province,2.5
BGR.16_1,BGR,Bulgaria,BGR.16_1,Ruse,Province,2.0
BGR.15_1,BGR,Bulgaria,BGR.15_1,Razgrad,Province,2.0
BGR.3_1,BGR,Bulgaria,BGR.3_1,Dobrich,Province,2.0
RUS.20_1,RUS,Russia,RUS.20_1,Kabardin-Balkar,Republic,2.0
RUS.48_1,RUS,Russia,RUS.48_1,North Ossetia,Republic,2.0
RUS.10_1,RUS,Russia,RUS.10_1,Chechnya,Republic,2.2857142857142856
USA.16_1,USA,United States,USA.16_1,Iowa,State,2.2
ESP.12_1,ESP,Spain,ESP.12_1,Galicia,Autonomous Community,2.0
ESP.17_1,ESP,Spain,ESP.17_1,Principado de Asturias,Autonomous Community,2.0
ESP.3_1,ESP,Spain,ESP.3_1,Cantabria,Autonomous Community,2.0
ESP.16_1,ESP,Spain,ESP.16_1,País Vasco,Autonomous Community,2.0
ESP.9_1,ESP,Spain,ESP.9_1,Comunidad Foral de Navarra,Autonomous Community,2.0
ITA.18_1,ITA,Italy,ITA.18_1,Umbria,Region,2.0
MNE.15_1,MNE,Montenegro,MNE.15_1,Plužine,Municipality,2.0
MNE.14_1,MNE,Montenegro,MNE.14_1,Pljevlja,Municipality,2.0
SRB.22_1,SRB,Serbia,SRB.22_1,Toplički,District,2.0
SRB.10_1,SRB,Serbia,SRB.10_1,Nišavski,District,2.0
SRB.12_1,SRB,Serbia,SRB.12_1,Pirotski,District,2.0
BGR.9_1,BGR,Bulgaria,BGR.9_1,Lovech,Province,2.0
BGR.25_1,BGR,Bulgaria,BGR.25_1,Veliko Tarnovo,Province,2.0
BGR.23_1,BGR,Bulgaria,BGR.23_1,Targovishte,Province,2.0
BGR.17_1,BGR,Bulgaria,BGR.17_1,Shumen,Province,2.0
BGR.24_1,BGR,Bulgaria,BGR.24_1,Varna,Province,2.0
GEO.1_1,GEO,Georgia,GEO.1_1,Abkhazia,Autonomous Republic,2.0
RUS.17_1,RUS,Russia,RUS.17_1,Ingush,Republic,2.0
UZB.9_1,UZB,Uzbekistan,UZB.9_1,Navoi,Region,1.065217391304348
CHN.18_1,CHN,China,CHN.18_1,Liaoning,Province,2.3174603174603177
USA.28_1,USA,United States,USA.28_1,Nebraska,State,2.383720930232558
ESP.5_1,ESP,Spain,ESP.5_1,Castilla y León,Autonomous Community,2.0
ESP.2_1,ESP,Spain,ESP.2_1,Aragón,Autonomous Community,2.0
ESP.6_1,ESP,Spain,ESP.6_1,Cataluña,Autonomous Community,2.2941176470588234
ITA.1_1,ITA,Italy,ITA.1_1,Abruzzo,Region,2.0
MNE.12_1,MNE,Montenegro,MNE.12_1,Nikšic,Municipality,2.0
MNE.9_1,MNE,Montenegro,MNE.9_1,Kolašin,Municipality,2.0
MNE.1_1,MNE,Montenegro,MNE.1_1,Andrijevica,Municipality,2.0
XKO.4_1,XKO,Kosovo,XKO.4_1,Pećki,District,2.0
XKO.3_1,XKO,Kosovo,XKO.3_1,Kosovska Mitrovica,District,2.0
XKO.5_1,XKO,Kosovo,XKO.5_1,Pristina,District,2.0
SRB.4_1,SRB,Serbia,SRB.4_1,Jablanički,District,2.0
BGR.12_1,BGR,Bulgaria,BGR.12_1,Pernik,Province,2.0
BGR.5_1,BGR,Bulgaria,BGR.5_1,Grad Sofiya,Province,2.0
BGR.21_1,BGR,Bulgaria,BGR.21_1,Sofia,Province,2.0
BGR.22_1,BGR,Bulgaria,BGR.22_1,Stara Zagora,Province,2.0
BGR.19_1,BGR,Bulgaria,BGR.19_1,Sliven,Province,2.0
BGR.2_1,BGR,Bulgaria,BGR.2_1,Burgas,Province,2.0
GEO.9_1,GEO,Georgia,GEO.9_1,Samegrelo-Zemo Svaneti,Region,2.0
GEO.8_1,GEO,Georgia,GEO.8_1,Racha-Lechkhumi-Kvemo Svaneti,Region,2.0
KGZ.8_1,KGZ,Kyrgyzstan,KGZ.8_1,Talas,Province,1.8333333333333333
KGZ.3_1,KGZ,Kyrgyzstan,KGZ.3_1,Chüy,Province,1.7777777777777777
KGZ.9_1,KGZ,Kyrgyzstan,KGZ.9_1,Ysyk-Köl,Province,1.25
USA.14_1,USA,United States,USA.14_1,Illinois,State,2.015625
USA.36_1,USA,United States,USA.36_1,Ohio,State,1.8846153846153846
USA.22_1,USA,United States,USA.22_1,Massachusetts,State,2.0
ESP.15_1,ESP,Spain,ESP.15_1,La Rioja,Autonomous Community,2.0
FRA.5_1,FRA,France,FRA.5_1,Corse,Region,2.0
ITA.8_1,ITA,Italy,ITA.8_1,Lazio,Region,2.0
MNE.16_1,MNE,Montenegro,MNE.16_1,Podgorica,Municipality,2.0
ALB.10_1,ALB,Albania,ALB.10_1,Shkodër,County,2.0
ALB.8_1,ALB,Albania,ALB.8_1,Kukës,County,2.0
XKO.6_1,XKO,Kosovo,XKO.6_1,Prizren,District,2.0
XKO.7_1,XKO,Kosovo,XKO.7_1,Uroševac,District,2.0
SRB.11_1,SRB,Serbia,SRB.11_1,Pčinjski,District,2.0
MKD.38_1,MKD,Macedonia,MKD.38_1,Kriva Palanka,Municipality,2.0
BGR.8_1,BGR,Bulgaria,BGR.8_1,Kyustendil,Province,2.0
BGR.11_1,BGR,Bulgaria,BGR.11_1,Pazardzhik,Province,2.0
BGR.14_1,BGR,Bulgaria,BGR.14_1,Plovdiv,Province,2.0
BGR.28_1,BGR,Bulgaria,BGR.28_1,Yambol,Province,2.0
GEO.4_1,GEO,Georgia,GEO.4_1,Imereti,Region,2.0
GEO.11_1,GEO,Georgia,GEO.11_1,Shida Kartli,Region,2.0
GEO.7_1,GEO,Georgia,GEO.7_1,Mtskheta-Mtianeti,Region,2.0
GEO.5_1,GEO,Georgia,GEO.5_1,Kakheti,Region,2.0
TKM.3_1,TKM,Turkmenistan,TKM.3_1,Balkan,Province,0.9649122807017544
TKM.6_1,TKM,Turkmenistan,TKM.6_1,Tashauz,Province,1.0
KGZ.5_1,KGZ,Kyrgyzstan,KGZ.5_1,Naryn,Province,1.5555555555555556
CHN.5_1,CHN,China,CHN.5_1,Gansu,Province,1.4787878787878788
CHN.10_1,CHN,China,CHN.10_1,Hebei,Province,2.0
PRK.2_1,PRK,North Korea,PRK.2_1,Hamgyŏng-bukto,Province,2.0
PRK.12_1,PRK,North Korea,PRK.12_1,Rasŏn,Directly Governed City,2.0
USA.5_1,USA,United States,USA.5_1,California,State,1.697674418604651
USA.29_1,USA,United States,USA.29_1,Nevada,State,1.0
USA.45_1,USA,United States,USA.45_1,Utah,State,1.108695652173913
USA.15_1,USA,United States,USA.15_1,Indiana,State,1.9487179487179487
USA.39_1,USA,United States,USA.39_1,Pennsylvania,State,2.0
USA.7_1,USA,United States,USA.7_1,Connecticut,State,2.0
USA.40_1,USA,United States,USA.40_1,Rhode Island,State,2.0
PRT.18_1,PRT,Portugal,PRT.18_1,Viana do Castelo,District,2.0
PRT.4_1,PRT,Portugal,PRT.4_1,Braga,District,2.0
PRT.19_1,PRT,Portugal,PRT.19_1,Vila Real,District,2.0
PRT.5_1,PRT,Portugal,PRT.5_1,Bragança,District,2.0
ITA.12_1,ITA,Italy,ITA.12_1,Molise,Region,2.0
ITA.2_1,ITA,Italy,ITA.2_1,Apulia,Region,2.0
ALB.9_1,ALB,Albania,ALB.9_1,Lezhë,County,2.0
ALB.2_1,ALB,Albania,ALB.2_1,Dibër,County,2.0
MKD.47_1,MKD,Macedonia,MKD.47_1,Mavrovo and Rostuša,Municipality,2.0
MKD.46_1,MKD,Macedonia,MKD.46_1,Makedonski Brod,Municipality,2.0
MKD.77_1,MKD,Macedonia,MKD.77_1,Veles,Municipality,2.0
MKD.30_1,MKD,Macedonia,MKD.30_1,Karbinci,Municipality,2.0
MKD.3_1,MKD,Macedonia,MKD.3_1,Berovo,Municipality,2.0
BGR.1_1,BGR,Bulgaria,BGR.1_1,Blagoevgrad,Province,2.0
BGR.20_1,BGR,Bulgaria,BGR.20_1,Smolyan,Province,2.0
BGR.7_1,BGR,Bulgaria,BGR.7_1,Kardzhali,Province,2.0
BGR.6_1,BGR,Bulgaria,BGR.6_1,Haskovo,Province,2.0
TUR.28_1,TUR,Turkey,TUR.28_1,Edirne,Province,2.0
TUR.50_1,TUR,Turkey,TUR.50_1,Kirklareli,Province,2.0
TUR.46_1,TUR,Turkey,TUR.46_1,Kastamonu,Province,2.0
TUR.70_1,TUR,Turkey,TUR.70_1,Sinop,Province,2.0
GEO.2_1,GEO,Georgia,GEO.2_1,Ajaria,Autonomous Republic,2.0
GEO.10_1,GEO,Georgia,GEO.10_1,Samtskhe-Javakheti,Region,2.0
GEO.12_1,GEO,Georgia,GEO.12_1,Tbilisi,Independent City,2.0
AZE.9_1,AZE,Azerbaijan,AZE.9_1,Shaki-Zaqatala,Region,2.0
UZB.7_1,UZB,Uzbekistan,UZB.7_1,Khorezm,Region,1.0
UZB.14_1,UZB,Uzbekistan,UZB.14_1,Tashkent,Region,1.6666666666666667
KGZ.4_1,KGZ,Kyrgyzstan,KGZ.4_1,Jalal-Abad,Province,1.9230769230769231
PRK.13_1,PRK,North Korea,PRK.13_1,Ryanggang,Province,2.0
USA.31_1,USA,United States,USA.31_1,New Jersey,State,2.0
PRT.15_1,PRT,Portugal,PRT.15_1,Porto,District,2.0
ESP.4_1,ESP,Spain,ESP.4_1,Castilla-La Mancha,Autonomous Community,2.0
ITA.5_1,ITA,Italy,ITA.5_1,Campania,Region,2.0
ALB.11_1,ALB,Albania,ALB.11_1,Tiranë,County,2.0
ALB.4_1,ALB,Albania,ALB.4_1,Elbasan,County,2.0
MKD.68_1,MKD,Macedonia,MKD.68_1,Struga,Municipality,2.0
MKD.19_1,MKD,Macedonia,MKD.19_1,Demir Hisar,Municipality,2.0
MKD.57_1,MKD,Macedonia,MKD.57_1,Prilep,Municipality,2.0
MKD.32_1,MKD,Macedonia,MKD.32_1,Kavadartsi,Municipality,2.0
MKD.65_1,MKD,Macedonia,MKD.65_1,Star Dojran,Municipality,2.0
GRC.6_1,GRC,Greece,GRC.6_1,Macedonia and Thrace,Decentralized administration,2.0
TUR.73_1,TUR,Turkey,TUR.73_1,Tekirdag,Province,2.0
TUR.40_1,TUR,Turkey,TUR.40_1,Istanbul,Province,2.0
TUR.81_1,TUR,Turkey,TUR.81_1,Zinguldak,Province,2.0
TUR.43_1,TUR,Turkey,TUR.43_1,Karabük,Province,2.0
TUR.67_1,TUR,Turkey,TUR.67_1,Samsun,Province,2.0
TUR.10_1,TUR,Turkey,TUR.10_1,Artvin,Province,2.0
TUR.9_1,TUR,Turkey,TUR.9_1,Ardahan,Province,2.0
GEO.6_1,GEO,Georgia,GEO.6_1,Kvemo Kartli,Region,2.0
AZE.4_1,AZE,Azerbaijan,AZE.4_1,Ganja-Qazakh,Region,2.0
AZE.8_1,AZE,Azerbaijan,AZE.8_1,Quba-Khachmaz,Region,2.0
UZB.2_1,UZB,Uzbekistan,UZB.2_1,Bukhoro,Region,1.0
UZB.13_1,UZB,Uzbekistan,UZB.13_1,Tashkent City,City,2.0
UZB.8_1,UZB,Uzbekistan,UZB.8_1,Namangan,Region,1.6666666666666667
PRK.1_1,PRK,North Korea,PRK.1_1,Chagang-do,Province,2.0
JPN.3_1,JPN,Japan,JPN.3_1,Aomori,Prefecture,2.0
USA.6_1,USA,United States,USA.6_1,Colorado,State,1.0803571428571428
PRT.20_1,PRT,Portugal,PRT.20_1,Viseu,District,2.0
PRT.10_1,PRT,Portugal,PRT.10_1,Guarda,District,2.0
ESP.8_1,ESP,Spain,ESP.8_1,Comunidad de Madrid,Autonomous Community,2.0
ITA.14_1,ITA,Italy,ITA.14_1,Sardegna,Autonomous Region,2.0
ITA.3_1,ITA,Italy,ITA.3_1,Basilicata,Region,2.0
ALB.5_1,ALB,Albania,ALB.5_1,Fier,County,2.0
ALB.7_1,ALB,Albania,ALB.7_1,Korçë,County,2.0
GRC.5_1,GRC,Greece,GRC.5_1,Epirus and Western Macedonia,Decentralized administration,2.0
TUR.52_1,TUR,Turkey,TUR.52_1,Kocaeli,Province,2.0
TUR.66_1,TUR,Turkey,TUR.66_1,Sakarya,Province,2.0
TUR.27_1,TUR,Turkey,TUR.27_1,Düzce,Province,2.0
TUR.19_1,TUR,Turkey,TUR.19_1,Bolu,Province,2.0
TUR.23_1,TUR,Turkey,TUR.23_1,Çankiri,Province,2.0
TUR.24_1,TUR,Turkey,TUR.24_1,Çorum,Province,2.0
TUR.6_1,TUR,Turkey,TUR.6_1,Amasya,Province,2.0
TUR.74_1,TUR,Turkey,TUR.74_1,Tokat,Province,2.0
TUR.63_1,TUR,Turkey,TUR.63_1,Ordu,Province,2.0
TUR.34_1,TUR,Turkey,TUR.34_1,Giresun,Province,2.0
TUR.75_1,TUR,Turkey,TUR.75_1,Trabzon,Province,2.0
TUR.65_1,TUR,Turkey,TUR.65_1,Rize,Province,2.0
TUR.31_1,TUR,Turkey,TUR.31_1,Erzurum,Province,2.0
TUR.45_1,TUR,Turkey,TUR.45_1,Kars,Province,2.0
ARM.8_1,ARM,Armenia,ARM.8_1,Shirak,Province,3.0
ARM.7_1,ARM,Armenia,ARM.7_1,Lori,Province,3.0
ARM.10_1,ARM,Armenia,ARM.10_1,Tavush,Province,2.0
AZE.2_1,AZE,Azerbaijan,AZE.2_1,Aran,Region,2.090909090909091
AZE.3_1,AZE,Azerbaijan,AZE.3_1,Daglig-Shirvan,Region,2.0
AZE.1_1,AZE,Azerbaijan,AZE.1_1,Absheron,Region,2.0
TKM.4_1,TKM,Turkmenistan,TKM.4_1,Chardzhou,Province,1.0526315789473684
UZB.4_1,UZB,Uzbekistan,UZB.4_1,Jizzakh,Region,2.0
UZB.11_1,UZB,Uzbekistan,UZB.11_1,Sirdaryo,Region,2.0
TJK.4_1,TJK,Tajikistan,TJK.4_1,Leninabad,Region,1.5454545454545454
UZB.1_1,UZB,Uzbekistan,UZB.1_1,Andijon,Region,2.0
KGZ.7_1,KGZ,Kyrgyzstan,KGZ.7_1,Osh,Province,1.5
CHN.2_1,CHN,China,CHN.2_1,Beijing,Municipality,2.0
PRK.3_1,PRK,North Korea,PRK.3_1,Hamgyŏng-namdo,Province,2.0
USA.26_1,USA,United States,USA.26_1,Missouri,State,2.1780821917808217
